Порядковый номер,Район,Адрес,Количество видеокамер
1.362,Адмиралтейский район,"Малая Подьяческая улица, дом 8",4
1.363,Адмиралтейский район,"Малодетскосельский проспект, дом 17-19/34",3
1.364,Адмиралтейский район,"Малодетскосельский проспект, дом 23",3
1.365,Адмиралтейский район,"Малодетскосельский проспект, дом 31",1
1.366,Адмиралтейский район,"Малодетскосельский проспект, дом 33",2
1.367,Адмиралтейский район,"Малодетскосельский проспект, дом 36",3
1.368,Адмиралтейский район,"Марата улица, дом 86",4
1.369,Адмиралтейский район,"Марата улица, дом 86,",5
1.370,Адмиралтейский район,"Марата улица, дом 92,",4
1.371,Адмиралтейский район,"Мастерская улица, дом 5",2
1.372,Адмиралтейский район,"Матисов переулок, дом 4, литера З,",2
1.373,Адмиралтейский район,"Митрофаньевское шоссе, дом 15",3
1.374,Адмиралтейский район,"Митрофаньевское шоссе, дом 2, корпус 1, литера К",5
1.375,Адмиралтейский район,"Митрофаньевское шоссе, дом 2, корпус 4",3
1.376,Адмиралтейский район,"Можайская улица, дом 11",2
1.377,Адмиралтейский район,"Можайская улица, дом 2",1
1.378,Адмиралтейский район,"Можайская улица, дом 22",1
1.379,Адмиралтейский район,"Можайская улица, дом 33",1
1.380,Адмиралтейский район,"Можайская улица, дом 3-5",14
1.381,Адмиралтейский район,"Можайская улица, дом 38",3
1.382,Адмиралтейский район,"Можайская улица, дом 41",3
1.383,Адмиралтейский район,"Можайская улица, дом 49",4
1.384,Адмиралтейский район,"Мойки реки набережная, дом 102, строение 1",1
1.385,Адмиралтейский район,"Мойки реки набережная, дом 104",3
1.386,Адмиралтейский район,"Мойки реки набережная, дом 108",2
1.387,Адмиралтейский район,"Мойки реки набережная, дом 110",6
1.388,Адмиралтейский район,"Мойки реки набережная, дом 124",2
1.389,Адмиралтейский район,"Мойки реки набережная, дом 126,",1
1.390,Адмиралтейский район,"Мойки реки набережная, дом 58",2
1.391,Адмиралтейский район,"Мойки реки набережная, дом 62/2",2
1.392,Адмиралтейский район,"Мойки реки набережная, дом 74",2
1.393,Адмиралтейский район,"Мойки реки набережная, дом 78",4
1.394,Адмиралтейский район,"Мойки реки набережная, дом 84, литера Б",2
1.395,Адмиралтейский район,"Московский проспект, дом 10-12В",2
1.396,Адмиралтейский район,"Московский проспект, дом 10-12Г",1
1.397,Адмиралтейский район,"Московский проспект, дом 1/2",3
1.398,Адмиралтейский район,"Московский проспект, дом 10-12",11
1.399,Адмиралтейский район,"Московский проспект, дом 10-12, литера Б",3
1.400,Адмиралтейский район,"Московский проспект, дом 10-12, литера М",3
1.401,Адмиралтейский район,"Московский проспект, дом 2/6",3
1.402,Адмиралтейский район,"Московский проспект, дом 20",2
1.403,Адмиралтейский район,"Московский проспект, дом 42/27",3
1.404,Адмиралтейский район,"Московский проспект, дом 45",5
1.405,Адмиралтейский район,"Московский проспект, дом 45, литера Б",1
1.406,Адмиралтейский район,"Московский проспект, дом 49",3
1.407,Адмиралтейский район,"Московский проспект, дом 5",4
1.408,Адмиралтейский район,"Московский проспект, дом 53",3
1.409,Адмиралтейский район,"Московский проспект, дом 6",5
1.410,Адмиралтейский район,"Московский проспект, дом 60/129",1
1.411,Адмиралтейский район,"Московский проспект, дом 60/129,",1
1.412,Адмиралтейский район,"Московский проспект, дом 61",3
1.413,Адмиралтейский район,"Московский проспект, дом 63",4
1.414,Адмиралтейский район,"Московский проспект, дом 65, литера У,",1
1.415,Адмиралтейский район,"Московский проспект, дом 7",9
1.416,Адмиралтейский район,"Московский проспект, дом 73, корпус 3",3
1.417,Адмиралтейский район,"Московский проспект, дом 75",4
1.418,Адмиралтейский район,"Московский проспект, дом 79",13
1.419,Адмиралтейский район,"Московский проспект, дом 79, литера Б",4
1.420,Адмиралтейский район,"Московский проспект, дом 9,",1
1.421,Адмиралтейский район,"Мясная улица, дом 19-21",9
1.422,Адмиралтейский район,"Нарвский проспект, дом 4-6",1
1.423,Адмиралтейский район,"Нарвский проспект, дом 23/2",3
1.424,Адмиралтейский район,"Нарвский проспект, дом 29",6
1.425,Адмиралтейский район,"Никольская площадь, дом 1",3
1.426,Адмиралтейский район,"Никольская площадь, дом 1, литера В",2
